/u,untuk,
abal,jelek,
abis,habis,
ad,ada,
adoh,aduh,
ae,saja,
agan,anda,sdr.
ahaha,haha,
aing,saya,
aj,saja,
aja,saja,
aja,saja,
ajaa,saja,
ajah,saja,
aje,saja,
ak,saya,
aku,saya,
akyu,saya,
alah,aduh,
alus,halus,
ama,dengan,
ama,sama,
ampe,sampai,
anda,kamu,
ane,saya,
aq,saya,
ati2,hati2,
ato,atau,
aye,saya,
baek,baik,
baikkk,baik,
bales,balas,
bangeet,sekali,
banget,sangat,
belom,belum,
belom,belum,
bener,benar,
bete,kecewa,
betul,benar,
bgd,sekali,
bgni,begini,
bgs,bagus,
bgt,sekali,begitu;sangat
bgus,bagus,
biar,agar,
bikin,membuat,
bilang,katakan,
bkan,bukan,
bkin,membuat,
bkn,bukan,
blg,katakan,
blh,boleh,
bli,beli,
blm,belum,
bln,bulan,
bls,balas,
blum,belum,
bner,benar,
bnr,benar,
bnyak,banyak,
bnyk,banyak,
br,baru,
brapa,berapa,
brarti,berarti,
brati,berarti,
brp,berapa,
bru,baru,
bs,bisa,
bsa,bisa,
bsk,besok,
bsok,besok,
bt,kecewa,
bu,ibu,
buat,membuat,
buruan,cepat,
buruk,jelek,
butut,jelek,
bwt,buat,
byk,banyak,
byr,bayar,
cacad,cacat,
cari,mencari,
cepet,cepat,
cepetan,cepat,
cm,cuma,
cma,cuma,
cpt,cepat,
cth,contoh,
cuman,cuma,
d,di,
da,ada,
dah,sudah,
dapet,dapat,
dateng,datang,
demen,suka,
dftr,daftar,
dg,dengan,
dgn,dengan,
dh,sudah,
di lego,dijual,
dikit,sedikit,
dilego,dijual,
disc,diskon,
dket,dekat,
dkt,dekat,
dl,dulu,
dlm,dalam,
dlu,dulu,
dmana,dimana,
dmn,dimana,
doi,dia,
donlot,download,
doskon,diskon,
doyan,suka,
dpet,dapat,
dpn,depan,
dpt,dapat,
dptkan,dapatkan,
dr,dari,
dri,dari,
drmh,dirumah,
drpd,daripada,
drtd,daritadi,
dsini,disini,
dtg,datang,
duit,uang,
dy,dia,
elu,kamu,
emang,memang,
emank,memang,
emg,memang,
emng,memang,
engga,tidak,
enggak,tidak,
entar,nanti,
ente,anda,
eror,error,
g,tidak,
ga,tidak,
gabisa,tidak bisa,
gada,tidak ada,
gag,tidak,
gak,tidak,
gantii,ganti,
gara2,karena,
gatau,tidak tahu,
gataunya,ternyata,
gbsa,tidak bisa,
gembel,jelek,
gi,lagi,
gimana,bagaimana,
gitu,begitu,
gk,tidak,
gmana,bagaimana,
gmn,bagaimana,
gmna,bagaimana,
gn,gunung,
gngguan,gangguan,
gnti,ganti,
gpp,tidak apa-apa,
gr2,karena,
gratisan,gratis,
gt,begitu,
gtu,begitu,
gua,saya,
gue,saya,
gw,saya,
gwa,saya,
hr,hari,
hrg,harga,
hrs,harus,
ia,ya,
iah,ya,
iki,ini,
ilang,hilang,
ilang,hilang,
indosatttt,indosat,
inii,ini,
iniii,ini,
itu,itu,
jadul,lama,
jd,jadi,
jg,juga,
jga,juga,
jgn,jangan,
jln,jalan,
jringan,jaringan,
jugaa,juga,
kacrut,kacau,
kaga,tidak,
kagak,tidak,
kali,mungkin,
kalo,kalau,
kamu,kamu,
kau,kamu,
kaya,seperti,
kayaknya,sepertinya,
kayanya,sepertinya,
kebanykan,kebanyakan,
kebnykan,kebanyakan,
keheul,sebal,
keknya,sepertinya,
keluh,mengeluh,
kelupas,terkelupas,
kemaren,kemarin,
kemgknan,kemungkinan,
kenceng,cepat,
kesel,sebal,
kgk,tidak,
ki,ini,
kira,dikira,
kirain,dikira,
kl,kalau,
klo,kalau,
klu,kalau,
km,kamu,
kmaren,kemarin,
kmn,kemana,
kmren,kemaren,
kmrn,kemarin,
kmu,kamu,
kn,kan,
knapa,kenapa,
knp,kenapa,
knpa,kenapa,
kpn,kapan,
krg,kurang,
krj,kerja,
krm,kirim,
krn,karena,
krna,karena,
krtu,kartu,
ksh,beri,
kta,kita,
ktik,ketik,
ktnya,katanya,
kudu,harus,
ky,seperti,
kya,seperti,
kyk,seperti,
kyknya,sepertinya,
laen,lain,
lbh,lebih,
lelet,lambat,
lemod,lambat,
lemooot,lambat,
lemoot,lambat,
lemot,lambat,
lemottt,lambat,
lg,lagi,
lgi,lagi,
lgsg,langsung,
liat,lihat,
lo,anda,
loe,anda,
lu,kamu,
lwat,lewat,
ma,dengan,
maen,main,
make,pakai,
malem,malam,
mang,memang,
mank,memang,
masi,masih,
masih,masuk,
mau,mau,
mauu,mau,
mending,bagusan,
mesti,harus,
mgkn,mungkin,
mkin,mungkin,makin
mlh,malah,
mlm,malam,
mlu,terus,
mmg,memang,
mndadak,mendadak,
mnt,minta,
mnta,minta,
mo,mau,
molooo,terus,
mreka,mereka,
msa,masa,
msh,masih,
msk,masuk,
mstnya,harusnya,
mulu,terus,
murka,marah,
musti,harus,
mw,mau,
n,dan,
naha,kenapa,
nambah,tambah,
nanya,tanya,
naon,apa,
napa,kenapa,
nd,tidak,
nda,tidak,
ndak,tidak,
nelfon,telepon,
nelp,telepon,
nelpon,telepon,
nempel,menempel,
nga,tidak,
ngaco,kacau,
ngak,tidak,
ngambek,marah,
ngebut,cepat,
ngeluh,mengeluh,
ngerror,error,
ngeselin,sebal,
ngga,tidak,
nggak,tidak,
ngirim,kirim,
ngomong,katakan,
nmr,nomor,
nnt,nonton,
nnti,nanti,
no,nomor,
nomer,nomor,
ntar,nanti,
ntr,nanti,
numb,number,
nyampe,sampai,
nyari,mencari,
nyebelin,mengesalkan,
oge,juga,
oke,baik,
ol,online,
pakai,pakai,
pake,dengan,menggunakan
pantesan,pantes,
pas,saat,
payah,jelek,
pd,pada,
pdahal,padahal,
pdhal,padahal,
pdhl,padahal,
pendingnya,pending,
pengen,ingin,
pesen,pesan,
pgn,ingin,
pisan,sekali,
pk,pakai,
pke,pakai,
pkek,pakai,
pket,paket,
pkt,paket,
plsa,pulsa,
pny,milik,
pnya,milik,
prov,provider,
ptg,potong,
pundung,kecewa,
punyak,milik,
q,kita,
qt,kita,
rada,agak,
rb,ribu,
rebu,ribu,
rmh,rumah,
sa,bisa,
sabaaaaar,sabar,
sampe,sampai,
sapa,siapa,
say,saya,sayang
sbg,sebagai,
sblm,sebelum,
sbr,sabar,
sdh,sudah,
sebel,sebal,
seburukburuk,jelek,
semacem,semacam,
seneng,senang,
sept,september,
setaun,tahun,
sgini,segini,
sgitu,segitu,
sharian,seharian,
signal,sinyal,
signalnya,sinyalnya,
sim,simcard,
sja,saja,
sk,suka,
skali,sekali,
skalian,sekalian,
skg,sekarang,
skitar,sekitar,
skr,sekarang,
skrg,sekarang,
skrng,sekarang,
slalu,selalu,
slama,selama,
slh,salah,
slma,selama,
sm,sama,
smlm,semalam,
smoga,semoga,
smp,sampai,
smpat,sempat,
smpati,simpati,
smpe,sampai,
smua,semua,
spt,seperti,
suda,sudah,
sy,saya,
sya,saya,
syg,sayang,
sypa,siapa,
tak,tidak,
tar,nanti,
tau,tahu,
taun,tahun,
taunya,ternyata,
taunyaa,ternyata,
td,tadi,
tdk,tidak,
tdr,tidur,
teh,tahun,
telfon,telepon,
telkmsel,telkomsel,
telp,telepon,
telpon,telepon,
temen,teman,
tetep,tetap,
teu,tidak,
tgl,tanggal,
th,tahun,
thn,tahun,
tlf,telepon,
tlp,telepon,
tlpon,telepon,
tmen,teman,
tmn,teman,
tmn2,teman,
tp,tapi,
trs,terus,
trus,terus,
tsel,telkomsel,
ttp,tetap,
tu,itu,
tw,tahu,
twit,tweet,
ud,sudah,
uda,sudah,
udah,sudah,
ude,sudah,
udh,sudah,
utk,untuk,
waduh,aduh,
wae,saja,
waelah,terus,
x,kali,
yg,yang,
yg,yang,
